model_name,fold,final_accuracy,final_loss,best_accuracy,best_loss,epochs_trained,training_time_seconds,model_size_mb,timestamp,learning_rate,batch_size,weight_decay,warmup_steps,accuracy,precision,recall,f1_score,ham_precision,ham_recall,ham_f1_score,ham_support,spam_precision,spam_recall,spam_f1_score,spam_support,macro_avg_precision,macro_avg_recall,macro_avg_f1_score,macro_avg_support,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score,weighted_avg_support,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy
Bert + Vit-Tiny,1,0.6438,0.6172,0.6438,0.6172,3,1394,462.7506561279297,2025-09-07T17:20:52.698636,0.0005,40,0.01,183,0.6438,0.6593,0.6438,0.6381,0.7123467600700525,0.5166719593521752,0.5989324498435485,3149.0,0.6030255607720396,0.7787133715055574,0.6797001322945759,2969.0,0.657686160421046,0.6476926654288664,0.6393162910690622,6118.0,0.6592943506689737,0.643837855508336,0.6381281427492531,6118.0,0.6528,0.6138,0.6172,0.6438
Bert + Vit-Tiny,2,0.8563,0.2708,0.8563,0.2708,3,1390,462.7506561279297,2025-09-07T17:44:03.745084,0.0005,40,0.01,183,0.8563,0.8578,0.8563,0.856,0.8367713004484305,0.8936781609195402,0.8642890226956925,3132.0,0.8799134511359539,0.8171466845277964,0.847369334953985,2986.0,0.8583423757921922,0.8554124227236684,0.8558291788248388,6118.0,0.8578276034809484,0.8563255966001961,0.8560310646053462,6118.0,0.4232,0.7651,0.2708,0.8563
Bert + Vit-Tiny,3,0.713,0.5462,0.713,0.5462,3,1404,462.7506561279297,2025-09-07T18:07:28.227265,0.0005,40,0.01,183,0.713,0.7417,0.713,0.7067,0.8262279888785913,0.5635271807838179,0.6700488538143555,3164.0,0.6512626262626262,0.8730534867975627,0.7460225629158229,2954.0,0.7387453075706087,0.7182903337906903,0.7080357083650892,6118.0,0.7417481456017752,0.7129780974174567,0.7067318117557964,6118.0,0.592,0.6789,0.5462,0.713
Bert + Vit-Tiny,4,0.6025,0.6703,0.6581,0.6185,3,1366,462.7506561279297,2025-09-07T18:30:14.601154,0.0005,40,0.01,183,0.6581,0.6042,0.6025,0.6029,0.6345472123751209,0.6026936026936027,0.618210361067504,3267.0,0.569485903814262,0.60224482637671,0.5854074326628026,2851.0,0.6020165580946915,0.6024692145351563,0.6018088968651534,6118.0,0.6042285149728639,0.6024844720496895,0.6029241320904194,6118.0,0.6459,0.6376,0.6703,0.6025
Bert + Vit-Tiny,5,0.732,0.5191,0.732,0.5191,3,1378,462.7506561279297,2025-09-07T18:53:12.889767,0.0005,40,0.01,183,0.732,0.7778,0.732,0.723,0.8897435897435897,0.5490506329113924,0.6790606653620352,3160.0,0.6581914128088271,0.9273403176748901,0.7699214365881033,2959.0,0.7739675012762084,0.7381954752931412,0.7244910509750693,6119.0,0.7777705726574706,0.7319823500571989,0.722998730741662,6119.0,0.5558,0.7023,0.5191,0.732
Distilbert + Beit,1,0.7592,0.4411,0.7592,0.4411,3,1608,869.6110076904297,2025-09-07T22:08:39.929093,0.0005,40,0.01,183,0.7592,0.7611,0.7592,0.7583,0.7428985507246377,0.8139091775166719,0.7767843612668587,3149.0,0.780359820089955,0.7012462108454025,0.7386907929749866,2969.0,0.7616291854072963,0.7575776941810373,0.7577375771209227,6118.0,0.7610781042953515,0.7592350441320693,0.7582979597862166,6118.0,0.5135,0.7201,0.4411,0.7592
Distilbert + Beit,2,0.7457,0.489,0.7457,0.489,3,1621,869.6110076904297,2025-09-07T22:35:41.107056,0.0005,40,0.01,183,0.7457,0.746,0.7457,0.7453,0.7393681652490887,0.777139208173691,0.7577833125778332,3132.0,0.7530077848549186,0.7126590756865372,0.7322780454232621,2986.0,0.7461879750520036,0.7448991419301141,0.7450306790005476,6118.0,0.7460252270573606,0.7456685191238966,0.7453350079482893,6118.0,0.5415,0.7099,0.489,0.7457
Distilbert + Beit,3,0.7141,0.5325,0.7141,0.5325,3,1602,869.6110076904297,2025-09-07T23:02:23.479501,0.0005,40,0.01,183,0.7141,0.7254,0.7141,0.7085,0.6809000255689082,0.8416561314791403,0.7527915194346289,3164.0,0.7729950158586316,0.5775220040622884,0.6611121875605502,2954.0,0.7269475207137699,0.7095890677707144,0.7069518534975896,6118.0,0.7253669430772186,0.7141222621771821,0.7085252974084719,6118.0,0.5607,0.6926,0.5325,0.7141
Distilbert + Beit,4,0.7388,0.5031,0.7388,0.5031,3,1603,869.6110076904297,2025-09-07T23:29:07.349887,0.0005,40,0.01,183,0.7388,0.7395,0.7388,0.7372,0.7332960581492871,0.802877257422712,0.7665108123904151,3267.0,0.7465564738292011,0.6653805682216766,0.7036350148367952,2851.0,0.739926265989244,0.7341289128221943,0.7350729136136052,6118.0,0.7394754378654418,0.7388035305655443,0.7372105674042481,6118.0,0.566,0.6875,0.5031,0.7388
Distilbert + Beit,5,0.7416,0.4882,0.7416,0.4882,3,1606,869.6110076904297,2025-09-07T23:55:54.043712,0.0005,40,0.01,183,0.7416,0.7442,0.7416,0.7402,0.7237177670728252,0.8082278481012658,0.7636417999701002,3160.0,0.766023166023166,0.6704967894558973,0.7150837988826816,2959.0,0.7448704665479956,0.7393623187785816,0.7393627994263909,6119.0,0.7441756320007642,0.7416244484392874,0.7401603282888334,6119.0,0.5545,0.7009,0.4882,0.7416
